PLAYER NAME,FEDEX CUP POINTS,AVERAGE DRIVING DISTANCE,Strokes Gained Off the Tee,Strokes gained tee to green,Strokes gained approach to the green,Strokes gained around the green,Strokes gained putting,Strokes gained total,BIRDIE TO BOGEY RATIO,birdie or better % from the rough,Scrambling average distance to the hole,World Ranking,Scoring Average,Percent of Available Purse Won,Official Money Won,,,,,
Derek Fathauer,293,283.2,-0.533,-0.882,-0.326,0.034,0.414,-0.411,1.23,14.07,8.67,204,71.677,0.71,669065 ,,,,,
Dominic Bozzelli,290,291,0.234,0.268,-0.196,0.029,-0.199,-0.132,1.3,16.84,9.42,142,71.612,0.88,630114 ,,,,,
Dustin Johnson,1903,316.2,1.069,2.436,0.856,0.511,0.517,2.953,2.36,28.57,5.17,1,69.649,9.55,5346600 ,,,,,
Emiliano Grillo,365,291.4,0.389,0.957,0.348,0.22,-0.332,0.625,1.47,14.81,6.75,36,70.862,1.01,941876 ,,,,,
Ernie Els,14,285.6,-0.63,-1.116,-0.499,-0.092,0.262,-0.959,0.78,10.61,8.83,388,73.024,0.07,54368 ,,,,,
Fabian Gomez,115,284.5,-0.087,-0.413,-0.568,0.208,-0.012,-0.459,1.33,17.7,7.92,121,71.838,0.26,215746 ,,,,,
Francesco Molinari,575,290.9,0.473,1.302,0.94,-0.065,0.208,1.557,1.68,10.96,7.33,30,69.766,1.58,1373896 ,,,,,
Gary Woodland,830,304.5,0.512,1.077,0.575,-0.011,0.132,1.208,1.59,18.68,8.25,39,70.401,2.24,2070260 ,,,,,
Geoff Ogilvy,234,283.4,-0.182,-0.202,-0.316,0.126,-0.312,-0.685,1.22,13.89,9.00,194,71.991,0.63,493885 ,,,,,
Gonzalo Fdez-Castano,31,290.3,-0.541,-1.041,-0.482,-0.018,0.975,-0.065,1.35,12.22,9.75,769,71.896,0.11,62463 ,,,,,
Graeme McDowell,199,279,0.273,0.298,0.014,0.131,0.373,0.79,1.48,9.38,8.00,83,70.319,0.76,388940 ,,,,,
Graham DeLaet,383,299.3,0.61,0.363,0.434,-0.536,0.619,1.127,1.59,18.7,10.25,114,70.355,1.19,881918 ,,,,,
Grayson Murray,131,306.4,0.41,-0.199,-0.231,-0.348,-0.351,-0.521,1.09,17.14,8.75,160,71.997,0.35,296275 ,,,,,
Greg Chalmers,91,276.8,-0.501,-0.582,-0.317,0.243,0.115,-0.46,1.06,13.51,8.50,279,71.977,0.22,220780 ,,,,,
Greg Owen,166,297.3,0.639,0.465,0.315,-0.489,-0.559,-0.094,1.58,20.83,10.42,296,71.517,0.97,403490 ,,,,,
Harold Varner III,155,300.3,0.368,0.426,0.061,-0.065,-0.531,-0.168,1.38,16.1,7.58,124,71.408,0.31,301769 ,,,,,
Harris English,221,297.2,-0.567,-0.359,-0.075,0.134,0.541,0.034,1.34,16.98,8.58,92,71.15,0.56,490219 ,,,,,
